"逆ポーランド表記法","オペランドの後に演算子を配置する方式で数式を表現する表記法。"
"排他的論理和","入力値の一方が偽で他方が真のとき真を，それ以外のとき偽を返す論理演算。"
"BNF","バッカス＝ナウア記法。プログラム言語の文法などを定義するためのメタ言語。"
"M/M/1","待ち行列理論で，窓口が一つでサービス時間等がランダムな待ち行列を表す用語。"
"差集合","ある集合から，別の集合にも含まれる値だけを取り除いた結果の集合。"
"積集合","二つの集合のうち，両方に含まれる値を全て保持する集合のこと。"
"和集合","二つの集合のうち，どちらかに含まれる値を全て保持する集合のこと。"
"線形探索","配列の先頭から順に探索値を探していく方式の探索アルゴリズム。"
"スタック","最後に格納したデータが最初に取り出される形式のデータ構造。"
"2分探索","探索範囲を半分に絞りながら目的のデータを探索する方法。"
"再入可能（リカーシブ）","複数のソフトウェアから同時に呼び出されても正常に動作するプログラムの性質。"
"流れ図","処理の流れ（順次・選択・繰返し）を表現するための図法。"
"ハッシュ表","ハッシュ関数で求めたデータのハッシュ値を，そのデータの格納位置とする表。"
"ハッシュ表探索","ハッシュ表からデータを探索するためのアルゴリズム。"
"キャッシュメモリ","CPU とメモリのアクセス速度の差を埋めるために用いられる高速のメモリ"
"ハミング符号","複数の冗長ビットをデータに付加し，誤りの検出や訂正を可能にしている手法"
"ライトバック方式","データの書込み時に，キャッシュメモリだけに書込みを行う方式"
"スーパスカラ","複数のパイプラインを並行稼働して，複数の命令を並列に実行可能とする技術"
"パイプライン","命令の各ステップを同時に処理することで，複数の命令を並行実行する技術"
"パイプラインハザード","パイプラインにおいて命令間に依存関係があり，複数の命令を並行実行できないこと"
"CPI","1命令を実行するのに必要なCPUのクロック数"
"ECCメモリ","エラーが発生したビットを自動的に発見・訂正する機能をもつメモリ"
"MISD","単独のデータを複数の命令が処理する形式のマルチプロセッサシステム"
"RAID3","パリティビットの訂正情報をビット単位で取得する形式のRAID装置"
"RAID4","パリティビットの訂正情報をブロック単位で取得する形式のRAID装置"
"RAID5","訂正情報を全てのディスクに分散して格納することで高速化を実現したRAID装置"
"VLIW","命令語を長くして，一つの命令で複数の機能ユニットを同時に制御する方式"
"ダイレクトマップ方式","主記憶の一つのブロックをキャッシュメモリの特定のブロックだけに対応させる方式"
"メモリインタリーブ","複数の単位に分割したメモリに同時並行的にアクセスする高速化技術"
"稼働率","システムや機器が正常に動作する確率。MTBF ÷ ( MTBF + MTTR ) で表す"
"TCO","システム導入の際の初期費用と，運用のための費用を合計した総コスト"
"LRU","仮想記憶において，最終参照時刻が最も古いページを優先して入れ替える方式"
"仮想記憶","補助記憶装置を仮想的な主記憶装置とみなし，主記憶装置の容量を増やす仕組み"
"クライアントサーバシステム","クライアント（処理の依頼者）とサーバ（処理の実行者）から構成されるシステム"
"フェールセーフ","障害発生時に，常に安全な状態となるようシステムを制御すること"
"FIFO","仮想記憶において，最も古くから存在するページを優先して入れ替える方式"
"MTBF","システムや機器が一度故障してから次に故障するまでの時間の平均。平均故障間隔"
"MTTR","故障したシステムや機器を修復するまでに要する時間の平均。平均修理時間"
"RPC","処理の一部を他のコンピュータに依頼して実行させる方式"
"オーバヘッド","目的の処理とは関係のない制御処理などを行うために消費される時間"
"スラッシング","メモリと仮想記憶との間でページ交換が多発し，処理が遅延すること"
"疎結合マルチプロセッサシステム","複数のCPUが個別のメモリをもち，個別のOSを稼働させる方式のシステム"
"タスクの優先度","タスクに設定される優先度で，この値が高いタスクほど優先して実行される"
"フェールオーバ","障害発生時に，他のシステムに処理を自動的に引き継ぐこと"
"フェールソフト","障害発生時に，性能が低下しても処理をできる限り継続すること"
"フォールトアボイダンス","システム構成要素の信頼性を向上させ，故障が起こらないようにすること"
"フォールトマスキング","システムの内部で故障が発生しても，それを利用者に気づかせないようにすること"
"オープンソースソフトウェア","ソースコードが無償で公開され，改良や再配布などを自由に行えるソフトウェア"
"OSI","オープンソースソフトウェアの促進を目的としている団体"
"論理回路","論理積 ( AND ) や論理和 ( OR ) などの演算を行う回路"
"D/A変換器","ディジタル信号をアナログ信号に変換する回路"
"PLC","電子回路を複数組み合わせることで作成された制御装置"
"PLL","入力信号の周波数の，整数倍の周波数信号を出力するために用いられる回路"
"ウォッチドッグタイマ","システム上で稼働するプログラムのハングアップを検知・解除するための機器"
"分周器","入力された高周波信号を，低周波信号に変換するための回路"
"リトルエンディアン","下位バイトのデータから順に，メモリの若いアドレスの語に格納していく方法"
"アクセシビリティ","高齢者や障がいのある人なども，健常者と同様に情報にアクセスできる度合い"
"フールプルーフ","誤操作しても大事に至らないようにするため，不要な操作を実行できなくすること"
"レイトレーシング","光線の経路を計算することで光の反射などを表現し，物体を描画するCG技術"
"アンチエイリアシング","曲線周辺に中間色のドットを置き，曲線のぎざつきを目立たなくすること"
"標本化","アナログ音声の音の強さを一定の間隔で取得すること"
"メタボール","球体の組合せによって立体物を構築するCG技術"
"ラジオシティ","光の相互反射を利用して物体表面のエネルギーを算出し，明るさを決定する方法"
"量子化","アナログ音声の音の強さを，一定の範囲の整数値に変換すること"
"SVG","W3Cが定義した，Webページ上で図形を描画するための技術"
"サンプリング周波数","1秒間に標本化（サンプリング）を行う回数"
"テクスチャマッピング","物体の表面に模様（テクスチャ）を貼り付け，リアルに表現する技術"
"SQL","関係データベースにおいて，テーブルの検索などの操作を行うために用いられる言語"
"E-R図","実体（エンティティ）とその関連（リレーションシップ）を表すシステム設計図法"
"インデックス","データベースのテーブルに付与する索引で，検索の高速化のために用いられる"
"外部キー","他のテーブルの主キーを参照する列のこと"
"参照制約","複数の表の間に関連をもたせ，データの整合性を保つために設ける制約"
"主キー","関係データベースの表の各行を一意に識別するための列"
"ストアドプロシージャ","クライアントから簡単なメッセージを送り，サーバのSQL群を使用可能にする機能"
"ロールフォワード","更新後情報を用いて，更新が完了した状態までデータベースの内容を復旧すること"
"GRANT","SQL文の一種で，表へのアクセス権限を利用者に与える機能をもつ"
"UNIQUE","SQLにおいて，列の値を一意にする制限を記述するための字句"
"原子性","トランザクションを，処理が完了したか，開始されていないかのいずれかとする性質"
"第1正規形","関係データベースの表のうち，繰返し項目をもたない状態の表のこと"
"第2正規形","主キーの一部だけに関数従属する属性（列）をもたない状態の表のこと"
"第3正規形","主キー以外の属性（列）に関数従属する属性をもたない状態の表のこと"
"レプリケーション","データベースの内容を，非同期に複製データベースに反映させる手法"
"ロールバック","トランザクションがテーブルに対して実行した更新を無効にすること"
"ルータ","ネットワーク層レベルで複数のネットワークを接続するネットワーク接続機器"
"IPアドレス","ネットワークに接続する機器を一意に識別するためのアドレス"
"SMTP","主にメールサーバ間でメールの送受信を行うためのプロトコル"
"1000BASE-T","伝送速度が1000Mbpsの，より対線を用いたLANの伝送規格"
"ARP","IPアドレスからMACアドレスを求めるためのプロトコル"
"CSMA/CD","LANの伝送方式の一種で，衝突発生時には各機器が再送処理を行う"
"ICMP","TCP／IPのIP層で，通信制御やエラーメッセージの送受信を行うプロトコル"
"PBX","内線電話の相互接続や，内線電話と外線との接続を行うための装置"
"POP3","メールソフトが，メールサーバからメールを受信するためのプロトコル"
"PPP","シリアル回線によるポイントツーポイント形式の通信プロトコル"
"RARP","MACアドレスからIPアドレスを求めるためのプロトコル"
"SNMP","ネットワークの状態や機器の情報を管理するためのプロトコル"
"VoIPゲートウェイ","社内のIP電話機と，外部のアナログ電話機との間の通信を管理するための機器"
"ゲートウェイ","アプリケーション層レベルで二つのネットワークを接続するネットワーク接続機器"
"スイッチングハブ","データリンク層レベルでネットワークを接続するネットワーク接続機器"
"ビット誤り率","通信回線経由で送信したビットのうちの何％が誤るかを示す確率"
"ファイアウォール","LANとインターネットの間に配置し，フィルタリングなどを行う機器"
"ブリッジ","データリンク層レベルで複数の機器を接続するネットワーク接続機器"
"リピータ","物理層レベルで複数の機器を接続するネットワーク接続機器"
"公開鍵","公開鍵暗号方式で用いられる，ネットワーク全体に公開して誰でも使用できる鍵"
"秘密鍵","公開鍵暗号方式で用いられる，利用者しか利用できない鍵"
"SSL","インターネット上でデータを安全に送受信するためのプロトコル"
"公開鍵暗号方式","受信者の公開鍵で暗号化し，受信者の秘密鍵で復号する暗号方式"
"ディジタル署名","公開鍵暗号方式を利用して作成された，データの作成者を証明するための署名"
"SQLインジェクション","不正なSQL文を作成してWebサーバに送り込み，誤動作をさせる攻撃手法"
"完全性","情報セキュリティの3要素の一つで，データの内容に矛盾がないこと"
